asv_code	domain	supergroup	division	subdivision	class	order	family	genus	species	trophic_mode
ZOTU-V7_23674	Eukaryota	TSAR	Alveolata	Dinoflagellata	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_23675	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23677	Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Himatismenida	Cochliopodiidae	Cochliopodium	Unassigned	heterotrophs
ZOTU-V7_23679	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_2368	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.	heterotrophs
ZOTU-V7_23684	Eukaryota	TSAR	Alveolata	Ciliophora	CONTH_7	CONTH_7_X	CONTH_7_XX	CONTH_7_XXX	CONTH_7_XXX_sp.	heterotrophs
ZOTU-V7_23685	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23688	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23690	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23692	Eukaryota	Excavata	Discoba	Euglenozoa	Kinetoplastea	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23694	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23697	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_23698	Eukaryota	Obazoa	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23699	Eukaryota	TSAR	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Monocystis	Unassigned	parasites
ZOTU-V7_237	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Unassigned	Unassigned	heterotrophs
ZOTU-V7_2370	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Lipomycetaceae	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23700	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Unassigned	Unassigned	heterotrophs
ZOTU-V7_23703	Eukaryota	TSAR	Stramenopiles	Gyrista	Peronosporomycetes	Peronosporomycetes_X	Unassigned	Unassigned	Unassigned	parasites
ZOTU-V7_23707	Eukaryota	Archaeplastida	Streptophyta	Streptophyta_X	Zygnemophyceae	Zygnemophyceae_X	Zygnemophyceae_XX	Spirogyra	Spirogyra_sp.	phototrophs
