"","sample_id","MDS1","MDS2","d15N_anomaly_mean_1800_1850","mean_air_temp_degC_anomaly_combined","fish_present_binary_YN"
"179","EYRI20_3.5",-0.757313885537181,-0.373362602837652,-1.80256184815909,-0.813333333333333,"No"
"180","EYRI20_4",-0.862196282464732,-0.336928826687386,-1.61917677517424,-0.301428571428571,"No"
"181","EYRI20_4.5",-0.791112670050201,-0.386719297870894,-1.79207136815909,-0.43,"No"
"182","EYRI20_5",-0.790391333860338,-0.289470605793759,-1.51054419517424,-0.23,"No"
"183","EYRI20_5.5",-0.856033286088871,-0.301163997633477,-1.43803784215909,-0.4175,"No"
"184","EYRI20_6",-0.879355408191236,-0.236883713063638,-1.18636697117424,-0.0442857142857142,"No"
"185","EYRI20_6.5",-0.859452299277983,-0.26919121310058,-1.09263878815909,0.4575,"No"
"186","EYRI20_7",-0.949756333598214,-0.158707508886566,-0.736552067174242,0.69,"No"
"187","EYRI20_7.5",-0.967270821589052,-0.0870827907045131,-0.465086170159091,-0.63,"No"
"188","EYRI20_8",-0.756738277834055,0.480818575566123,-0.633081035174242,-0.87,"No"
"189","EYRI20_8.5",-1.05954478056997,0.652626753942568,-0.504415383159091,-0.196666666666667,"No"
"190","EYRI20_9",-0.904312651034958,0.413156665300867,-0.651806651174242,-0.3675,"No"
"191","EYRI20_9.5",-0.850497301218478,0.500924859413909,-0.654913423159091,-0.9175,"No"
"192","FOOT20_0.5",-0.522785064185967,-0.987094048639435,-2.63718610499144,0.47,"Yes"
"193","FOOT20_1",-0.436657688127258,-0.858540348551806,-2.28225150899144,0.303333333333333,"Yes"
"194","FOOT20_1.5",-0.444262753962064,-0.719751396780318,-2.95468961201713,0.87,"Yes"
"195","FOOT20_10",-0.103279561330631,-0.0112109940884137,0.0865719050085638,-1.01125,"No"
"196","FOOT20_10.5",-0.357867168957478,0.148360457812739,-0.0262393840171278,-1.01125,"No"
"197","FOOT20_11",-0.13883646349868,0.157127876720426,0.183758770008564,-1.01125,"No"
"198","FOOT20_11.5",-0.291483491107925,0.227310847242436,-0.0256402240171276,-1.01125,"No"
"199","FOOT20_12",-0.273261299536436,0.389094805230893,0.182477020008564,-1.01125,"No"
"200","FOOT20_12.5",-0.183305030525861,0.243420220882772,-0.0481087240171276,-1.01125,"No"
"201","FOOT20_13",-0.137946784521104,0.275308988585731,0.129986634008564,-1.01125,"No"
"202","FOOT20_14",-0.20672290385377,0.371432979949417,0.0927745520085641,-1.01125,"No"
"203","FOOT20_14.5",-0.255543714387779,0.382178088670332,0.00213507598287244,-1.01125,"No"
"204","FOOT20_15",-0.33890517238432,0.450442424230182,-0.0721997849914358,-1.01125,"No"
"205","FOOT20_15.5",-0.306111279547764,0.344061651893341,-0.148767604017128,-1.01125,"No"
"206","FOOT20_16",-0.196052060382789,0.455027744705187,0.142206615008564,-1.01125,"No"
"207","FOOT20_17",-0.0829798369510175,0.632771794566762,0.127480215008564,-1.01125,"No"
"208","FOOT20_17.5",-0.310560446430574,0.454882968954737,0.0658751969828724,-1.01125,"No"
"209","FOOT20_18",-0.178234175897185,0.303885782053301,-0.0430964249914361,-1.01125,"No"
