"","asv_code","domain","supergroup","division","subdivision","class","order","family","genus","species","trophic_mode"
"4922","ZOTU-V9_32333","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"4923","ZOTU-V9_32339","Eukaryota","TSAR","Alveolata","Ciliophora","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4924","ZOTU-V9_3235","Eukaryota","Obazoa","Opisthokonta","Ichthyosporea","Ichthyophonida","Pseudoperkinsidae","Pseudoperkinsidae_X","Anurofeca","Unassigned","heterotrophs"
"4925","ZOTU-V9_32352","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4926","ZOTU-V9_32353","Eukaryota","TSAR","Alveolata","Ciliophora","Colpodea","Colpodea_X","Unassigned","Unassigned","Unassigned","heterotrophs"
"4927","ZOTU-V9_32359","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4928","ZOTU-V9_32362","Eukaryota","Amoebozoa","Tubulinea","Tubulinea_X","Elardia","Euamoebida","Hartmannellidae","Saccamoeba","Unassigned","heterotrophs"
"4929","ZOTU-V9_32367","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Granofilosea","Limnofilida","Limnofilidae","Unassigned","Unassigned",NA
"4930","ZOTU-V9_32387","Eukaryota","Obazoa","Opisthokonta","Choanoflagellata","Choanoflagellatea","Choanoflagellatea_X","Choanoflagellata_XX_Clade-2","Sphaeroeca","Sphaeroeca_volvox","heterotrophs"
"4931","ZOTU-V9_32393","Eukaryota","TSAR","Alveolata","Ciliophora","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4932","ZOTU-V9_3240","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Chrysophyceae_Clade-EC2H","Chrysophyceae_Clade-EC2H_X","Chrysophyceae_Clade-EC2H_XX","Chrysophyceae_Clade-EC2H_XX_sp.","phototrophs"
"4933","ZOTU-V9_32401","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Granofilosea","Limnofilida","Limnofilidae","Unassigned","Unassigned",NA
"4934","ZOTU-V9_32404","Eukaryota","TSAR","Alveolata","Ciliophora","Plagiopylea","Plagiopylea_X","Unassigned","Unassigned","Unassigned","heterotrophs"
"4935","ZOTU-V9_32412","Eukaryota","Excavata","Discoba","Euglenozoa","Kinetoplastea","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4936","ZOTU-V9_32426","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Unassigned","Unassigned","heterotrophs"
"4937","ZOTU-V9_32429","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4938","ZOTU-V9_32441","Eukaryota","Excavata","Discoba","Euglenozoa","Kinetoplastea","Prokinetoplastida","Ichthyobodonidae","Ichthyobodonidae_PRO1","Ichthyobodonidae_PRO1_sp.","heterotrophs"
"4939","ZOTU-V9_32458","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiaceae","Rhizophydium","Rhizophydium_patellarium","saprotrophs/parasites"
"4940","ZOTU-V9_32465","Eukaryota","TSAR","Rhizaria","Cercozoa","Sainouroidea","Sainouroidea_X","Guttulinopsidae","Rosculus","Unassigned",NA
"4941","ZOTU-V9_32472","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4942","ZOTU-V9_3248","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Ochromonadales","Unassigned","Unassigned","Unassigned","phototrophs"
"4943","ZOTU-V9_32485","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonadales_XX","Chlamydomonadales_XX_sp.","phototrophs"
"4944","ZOTU-V9_32487","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Petalomonadida","Eupetalomonads_X","Eupetalomonads_XX","Eupetalomonads_XX_sp.",NA
"4945","ZOTU-V9_32489","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4946","ZOTU-V9_32497","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Unassigned","Unassigned","Unassigned","heterotrophs"
"4947","ZOTU-V9_32510","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4948","ZOTU-V9_32517","Eukaryota","Excavata","Discoba","Euglenozoa","Kinetoplastea","Kinetoplastea_X","Kinetoplastea_XX","Unassigned","Unassigned","heterotrophs"
"4949","ZOTU-V9_32523","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
